id,delta_point,created_at,user_id,user_question_record_id
799230,8,"2023-04-28 13:28:18",850077,780208
799233,14,"2023-04-28 13:28:18",849436,780211
799243,5,"2023-04-28 13:28:21",849504,780221
799251,7,"2023-04-28 13:28:23",849559,780229
799254,12,"2023-04-28 13:28:24",847375,780232
799277,11,"2023-04-28 13:28:30",849504,780255
799280,8,"2023-04-28 13:28:30",849436,780258
799297,14,"2023-04-28 13:28:36",849559,780275
799303,10,"2023-04-28 13:28:37",849439,780280
799305,15,"2023-04-28 13:28:38",849436,780282
799332,6,"2023-04-28 13:28:46",849439,780309
799335,5,"2023-04-28 13:28:47",849559,780312
799340,5,"2023-04-28 13:28:49",849469,780317
799360,9,"2023-04-28 13:28:54",849549,780337
799366,7,"2023-04-28 13:28:56",849559,780343
799378,6,"2023-04-28 13:28:58",849469,780355
799386,11,"2023-04-28 13:29:01",849504,780363
799393,9,"2023-04-28 13:29:03",849439,780369
799397,11,"2023-04-28 13:29:05",849549,780373
799399,5,"2023-04-28 13:29:05",849469,780375
799407,10,"2023-04-28 13:29:07",849559,780383
799419,5,"2023-04-28 13:29:10",849439,780394
799431,12,"2023-04-28 13:29:14",849549,780406
799435,11,"2023-04-28 13:29:15",849446,780410
799447,8,"2023-04-28 13:29:19",849559,780422
799456,6,"2023-04-28 13:29:21",849504,780431
799459,11,"2023-04-28 13:29:22",849549,780434
799475,9,"2023-04-28 13:29:28",849469,780450
799478,11,"2023-04-28 13:29:29",849549,780453
799480,11,"2023-04-28 13:29:30",849504,780455
799499,13,"2023-04-28 13:29:36",849446,780474
799503,8,"2023-04-28 13:29:37",849504,780478
799514,11,"2023-04-28 13:29:41",849670,780489
799517,14,"2023-04-28 13:29:43",849559,780493
799531,9,"2023-04-28 13:29:47",849504,780505
799538,14,"2023-04-28 13:29:48",849670,780512
799542,10,"2023-04-28 13:29:51",849559,780516
799546,11,"2023-04-28 13:29:51",849446,780520
799558,13,"2023-04-28 13:29:55",849670,780532
799561,5,"2023-04-28 13:29:56",849504,780535
799571,15,"2023-04-28 13:29:59",849454,780545
799580,6,"2023-04-28 13:30:02",849559,780553
799596,10,"2023-04-28 13:30:08",849670,780568
799617,9,"2023-04-28 13:30:17",849446,780589
799619,13,"2023-04-28 13:30:17",849670,780591
799635,15,"2023-04-28 13:30:22",849670,780606
799641,8,"2023-04-28 13:30:25",849446,780612
799654,12,"2023-04-28 13:30:29",849670,780624
799659,15,"2023-04-28 13:30:30",849454,780629
799670,7,"2023-04-28 13:30:36",849670,780640
799687,14,"2023-04-28 13:30:43",849670,780657
799710,13,"2023-04-28 13:30:54",849454,780679
799723,11,"2023-04-28 13:31:01",849670,780692
799724,13,"2023-04-28 13:31:01",849454,780693
799733,12,"2023-04-28 13:31:04",849441,780701
799750,9,"2023-04-28 13:31:13",849441,780718
799804,13,"2023-04-28 13:31:45",849441,780770
799842,8,"2023-04-28 13:32:06",849441,780806
799886,8,"2023-04-28 13:32:37",849441,780847
799897,5,"2023-04-28 13:32:42",850091,780858
799910,6,"2023-04-28 13:32:49",850091,780871
799919,9,"2023-04-28 13:32:53",850007,780880
799928,10,"2023-04-28 13:32:56",850091,780889
799933,6,"2023-04-28 13:33:00",850007,780894
799934,8,"2023-04-28 13:33:00",849503,780895
799944,9,"2023-04-28 13:33:03",850098,780905
799952,12,"2023-04-28 13:33:06",849503,780912
799953,8,"2023-04-28 13:33:06",850007,780913
799964,14,"2023-04-28 13:33:10",850091,780924
799972,5,"2023-04-28 13:33:13",850007,780931
799976,6,"2023-04-28 13:33:15",850091,780935
799980,13,"2023-04-28 13:33:16",849441,780939
799981,7,"2023-04-28 13:33:17",849503,780940
799990,10,"2023-04-28 13:33:19",850007,780949
799997,9,"2023-04-28 13:33:21",850091,780956
800000,9,"2023-04-28 13:33:23",849503,780959
800003,7,"2023-04-28 13:33:24",850007,780962
800012,9,"2023-04-28 13:33:28",850091,780971
800019,14,"2023-04-28 13:33:29",849441,780978
800029,7,"2023-04-28 13:33:34",850091,780988
800034,7,"2023-04-28 13:33:36",850007,780993
800036,9,"2023-04-28 13:33:37",849503,780995
800046,15,"2023-04-28 13:33:42",850007,781004
800062,8,"2023-04-28 13:33:47",849503,781020
800075,5,"2023-04-28 13:33:51",850091,781033
800076,15,"2023-04-28 13:33:51",849503,781034
800093,14,"2023-04-28 13:33:57",850091,781051
800267,8,"2023-04-28 13:35:07",850098,781223
800295,7,"2023-04-28 13:35:16",850098,781250
800326,9,"2023-04-28 13:35:27",850098,781280
800390,9,"2023-04-28 13:35:50",850098,781342
800409,11,"2023-04-28 13:35:56",849498,781361
800462,13,"2023-04-28 13:36:11",849498,781414
800486,7,"2023-04-28 13:36:18",849498,781438
800516,8,"2023-04-28 13:36:27",849498,781468
800574,14,"2023-04-28 13:36:44",849498,781525
800617,13,"2023-04-28 13:37:01",849498,781567
800638,7,"2023-04-28 13:37:10",849498,781588
800764,6,"2023-04-28 13:38:05",850098,781713
800873,10,"2023-04-28 13:38:47",850098,781820
800973,11,"2023-04-28 13:39:21",849979,781919
800997,9,"2023-04-28 13:39:28",849979,781942
801036,6,"2023-04-28 13:39:41",849979,781979
801066,10,"2023-04-28 13:39:51",849979,782008
