id,question_text,created_at
423,"아이컨택 10초 하고 싶은 사람은?","2023-05-02 05:32:55"
424,"어깨가 가장 넓은 사람은?","2023-05-02 05:32:56"
425,"닮은꼴 연예인이 있는 사람은?","2023-05-02 05:32:56"
426,"왠지 궁금해지는 사람은?","2023-05-02 05:32:56"
427,"요즘 유행하는 밈을 다 알고 있을 것 같은 사람은?","2023-05-02 05:32:56"
428,"의외로 눈물이 많을 것 같은 사람은?","2023-05-02 05:32:57"
429,"의외로 요리를 잘할 것 같은 사람은?","2023-05-02 05:32:57"
430,"이 친구 굉장하다","2023-05-02 05:32:57"
431,"이 친구 폼 미쳤다","2023-05-02 05:32:57"
432,"매일 탕후루 하나씩 먹을 것 같은 사람은?","2023-05-02 05:32:58"
433,"토스트만 먹고도 살 것 같은 사람은?","2023-05-02 05:32:58"
434,"침착한 매력이 있는 친구","2023-05-02 05:32:58"
435,"패싸움이 났을 때 제일 먼저 부르고 싶은 사람은?","2023-05-02 05:32:58"
436,"평생 갈 것 같은 친구는?","2023-05-02 05:32:58"
437,"ENFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:32:59"
438,"ENFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:32:59"
439,"ENTJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:32:59"
440,"ENTP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
441,"ESFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
442,"ESFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
443,"ESTJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:00"
444,"ESTP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
445,"INFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
446,"INFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
447,"INTJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:01"
448,"INTP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:02"
449,"ISFJ에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:02"
450,"ISFP에 가장 가까울 것 같은 사람은?","2023-05-02 05:33:02"
