id,status,created_at,updated_at,receive_user_id,send_user_id
678,A,"2023-04-19 06:33:06","2023-04-19 06:36:16",837687,837600
679,A,"2023-04-19 06:33:06","2023-04-19 06:34:44",837701,837682
680,A,"2023-04-19 06:33:06","2023-04-19 09:29:50",837544,837600
681,A,"2023-04-19 06:33:07","2023-04-20 09:39:29",837694,837531
682,A,"2023-04-19 06:33:07","2023-04-22 14:14:50",837570,837600
683,A,"2023-04-19 06:33:09","2023-04-19 06:36:09",837660,837600
684,A,"2023-04-19 06:33:11","2023-04-19 06:33:35",837613,837701
685,A,"2023-04-19 06:33:11","2023-04-19 06:42:23",837668,837701
686,A,"2023-04-19 06:33:11","2023-04-19 06:56:21",837689,837701
687,A,"2023-04-19 06:33:14","2023-04-19 07:19:25",837658,837600
688,A,"2023-04-19 06:33:15","2023-04-19 11:25:11",837565,837600
689,A,"2023-04-19 06:33:15","2023-04-19 08:41:41",837696,837571
690,A,"2023-04-19 06:33:15","2023-04-19 08:41:40",837696,837600
691,P,"2023-04-19 06:33:16","2023-04-19 06:33:16",837648,837600
692,P,"2023-04-19 06:33:19","2023-04-19 06:33:19",837610,837699
693,A,"2023-04-19 06:33:19","2023-04-19 07:01:05",837669,837699
694,A,"2023-04-19 06:33:19","2023-04-19 15:07:58",837677,837699
696,A,"2023-04-19 06:33:25","2023-04-19 06:53:33",837654,837600
697,A,"2023-04-19 06:33:25","2023-04-29 07:17:53",837526,837703
698,P,"2023-04-19 06:33:25","2023-04-19 06:33:25",837693,837703
702,A,"2023-04-19 06:33:30","2023-04-19 06:35:03",837697,837571
704,A,"2023-04-19 06:33:35","2023-04-19 06:34:59",837691,837571
705,A,"2023-04-19 06:33:49","2023-04-19 06:36:54",837681,837653
706,A,"2023-04-19 06:33:50","2023-04-19 06:59:17",837692,837653
707,A,"2023-04-19 06:33:55","2023-04-19 10:29:42",837705,837531
709,A,"2023-04-19 06:34:01","2023-04-19 07:12:20",837543,837661
712,A,"2023-04-19 06:34:11","2023-04-19 06:50:34",837706,837597
713,A,"2023-04-19 06:34:15","2023-04-19 14:06:08",837598,837706
714,A,"2023-04-19 06:34:15","2023-04-19 06:34:43",837701,837706
715,A,"2023-04-19 06:34:19","2023-04-19 06:37:46",837634,837661
716,A,"2023-04-19 06:34:22","2023-04-19 08:41:34",837696,837661
717,A,"2023-04-19 06:34:28","2023-04-19 06:36:08",837660,837661
718,A,"2023-04-19 06:34:30","2023-04-19 06:44:33",837535,837707
719,A,"2023-04-19 06:34:30","2023-04-19 06:37:52",837637,837707
720,A,"2023-04-19 06:34:30","2023-04-19 06:43:45",837641,837707
721,A,"2023-04-19 06:34:30","2023-04-19 06:36:46",837642,837707
722,A,"2023-04-19 06:34:30","2023-04-19 06:39:15",837651,837707
723,A,"2023-04-19 06:34:30","2023-04-19 06:35:05",837661,837707
724,A,"2023-04-19 06:34:30","2023-04-19 06:36:20",837672,837707
725,A,"2023-04-19 06:34:31","2023-04-19 07:19:22",837658,837661
726,A,"2023-04-19 06:34:32","2023-04-19 06:51:27",837536,837706
727,A,"2023-04-19 06:34:32","2023-04-19 06:51:24",837539,837706
728,P,"2023-04-19 06:34:32","2023-04-19 06:34:32",837541,837706
729,A,"2023-04-19 06:34:32","2023-04-19 06:34:41",837613,837706
730,A,"2023-04-19 06:34:32","2023-04-19 06:56:20",837689,837706
731,A,"2023-04-19 06:34:32","2023-04-19 06:34:53",837691,837706
732,A,"2023-04-19 06:35:13","2023-04-19 06:50:59",837686,837697
735,A,"2023-04-19 06:35:28","2023-04-19 06:51:23",837539,837639
736,P,"2023-04-19 06:35:28","2023-04-19 06:35:28",837541,837639
740,P,"2023-04-19 06:35:28","2023-04-19 06:35:28",837560,837639
743,P,"2023-04-19 06:35:28","2023-04-19 06:35:28",837585,837639
744,A,"2023-04-19 06:35:28","2023-04-20 02:22:33",837598,837639
746,A,"2023-04-19 06:35:28","2023-04-19 06:36:01",837613,837639
748,A,"2023-04-19 06:35:28","2023-04-19 06:41:45",837632,837639
749,A,"2023-04-19 06:35:37","2023-04-19 06:37:44",837634,837597
751,A,"2023-04-19 06:35:42","2023-04-19 06:56:18",837689,837697
752,A,"2023-04-19 06:35:45","2023-04-19 06:36:00",837613,837697
