id,distance,nearby_school_id,school_id
119145,0.0262829142,30,12
119146,0.0296814291,5,12
119147,0.0318766906,36,12
119148,0.0425975597,29,12
119149,0.0522954984,31,12
119150,0,12,12
119151,0.0471820327,34,21
119152,0.0546499223,11,21
119153,0.0803926662,168,21
119154,0.0807473693,172,21
119155,0.081177409,33,21
119156,0.0854772398,169,21
119157,0.0866073862,171,21
119158,0.0927614129,10,21
119159,0.1117533284,19,21
119160,0,21,21
119161,0.0655095388,34,19
119162,0.0942358027,5806,19
119163,0.10950781,181,19
119164,0.1109268109,182,19
119165,0.1117533284,21,19
119166,0.1271833769,10,19
119167,0.127843791,4862,19
119168,0.1343683601,4670,19
119169,0.1455737845,11,19
119170,0,19,19
119171,0.005640605,14,17
119172,0.008767465,32,17
119173,0.0090894375,30,17
119174,0.0181363738,8,17
119175,0.0199837841,12,17
119176,0.0206187388,36,17
119177,0.025619978,5,17
119178,0.033206508,29,17
119179,0.0566604331,31,17
119180,0,17,17
119181,0.005640605,17,14
119182,0.0065793261,32,14
119183,0.0096092682,30,14
119184,0.0140322819,8,14
119185,0.0167018813,12,14
119186,0.0180719499,36,14
119187,0.021090912,5,14
119188,0.0304218862,29,14
119189,0.0592483482,31,14
119190,0,14,14
119191,0.0105346574,36,5
119192,0.0140726731,29,5
119193,0.0202280041,30,5
119194,0.021090912,14,5
119195,0.025619978,17,5
119196,0.025669474,8,5
119197,0.025786102,32,5
119198,0.0296814291,12,5
119199,0.0794601444,31,5
119200,0,5,5
119201,0.0407263778,33,10
119202,0.0633442081,11,10
119203,0.086536422,34,10
119204,0.092655594,12,10
119205,0.0927614129,21,10
119206,0.0952388609,8,10
119207,0.0993753112,31,10
119208,0.1037930018,32,10
119209,0.1064287918,15,10
119210,0,10,10
119211,0.0481694464,23,15
119212,0.0557294235,31,15
119213,0.0877195327,5818,15
119214,0.104005586,12,15
119215,0.1064287918,10,15
119216,0.107897316,8,15
119217,0.1079013595,32,15
119218,0.1118970119,17,15
119219,0.1139022241,14,15
119220,0,15,15
119221,0.0522954984,12,31
119222,0.0523358091,23,31
119223,0.0537238026,32,31
119224,0.0557294235,15,31
119225,0.0557879811,8,31
119226,0.0566604331,17,31
119227,0.0592483482,14,31
119228,0.0655680983,30,31
119229,0.0770810259,36,31
119230,0,31,31
119231,0.0075502635,13,24
119232,0.0104546499,25,24
119233,0.0141215735,7,24
119234,0.0151669411,6,24
119235,0.0152307574,4,24
119236,0.016998663,18,24
119237,0.0171841833,9,24
119238,0.0248014949,26,24
119239,0.0248317,20,24
119240,0,24,24
119241,0,28,27
119242,0.0032836982,26,27
119243,0.0115228001,4,27
119244,0.0143892614,6,27
119245,0.0186347471,13,27
119246,0.0188688621,7,27
119247,0.0261523116,24,27
119248,0.0280638661,20,27
119249,0.0322200875,25,27
119250,0,27,27
119251,0,27,28
119252,0.0032836982,26,28
119253,0.0115228001,4,28
119254,0.0143892614,6,28
119255,0.0186347471,13,28
119256,0.0188688621,7,28
119257,0.0261523116,24,28
119258,0.0280638661,20,28
119259,0.0322200875,25,28
119260,0,28,28
119261,0.007016036,18,25
119262,0.0104546499,24,25
119263,0.01477377,7,25
119264,0.0157437256,13,25
119265,0.0183638723,6,25
119266,0.0197802263,20,25
119267,0.0231012761,4,25
119268,0.0236656911,9,25
119269,0.030010925,26,25
119270,0,25,25
119271,0.0321172149,11,33
119272,0.0407263778,10,33
119273,0.081177409,21,33
119274,0.0963895307,34,33
119275,0.1018774321,12,33
119276,0.1030272373,8,33
119277,0.1126927708,32,33
119278,0.1130936628,5,33
119279,0.1164451995,14,33
119280,0,33,33
119281,0.0032836982,27,26
119282,0.0032836982,28,26
119283,0.0112147084,4,26
119284,0.0118032237,6,26
119285,0.0161354914,7,26
119286,0.0174581064,13,26
119287,0.0248014949,24,26
119288,0.0248163845,20,26
119289,0.030010925,25,26
119290,0,26,26
119291,0.0928249064,5957,35
119292,0.1244421766,170,35
119293,0.1254055997,183,35
119294,0.1408651263,4668,35
119295,0.1441010142,180,35
119296,0.148247659,4669,35
119297,0.1629696323,5807,35
119298,0.1745173713,16,35
119299,0.179175477,4861,35
119300,0,35,35
119301,0.0125880167,36,29
119302,0.0140726731,5,29
119303,0.0249701719,30,29
119304,0.0304218862,14,29
119305,0.033206508,17,29
119306,0.0364317718,32,29
119307,0.038629115,8,29
119308,0.0425975597,12,29
119309,0.0896025808,31,29
119310,0,29,29
119311,0.0065793261,14,32
119312,0.008767465,17,32
119313,0.0097217405,8,32
119314,0.0112190813,12,32
119315,0.0159229114,30,32
119316,0.0243449513,36,32
119317,0.025786102,5,32
119318,0.0364317718,29,32
119319,0.0537238026,31,32
119320,0,32,32
119321,0.0051142978,42,37
119322,0.0051558494,62,37
119323,0.0051592207,51,37
119324,0.01113207,43,37
119325,0.0121166404,60,37
119326,0.0172846889,38,37
119327,0.021761878,39,37
119328,0.0234813378,86,37
119329,0.0249597531,97,37
119330,0,37,37
119331,0.0090894375,17,30
119332,0.0096092682,14,30
119333,0.0126230859,36,30
119334,0.0159229114,32,30
119335,0.0202280041,5,30
119336,0.0233985101,8,30
119337,0.0249701719,29,30
119338,0.0262829142,12,30
119339,0.0655680983,31,30
119340,0,30,30
119341,0.0043966627,61,41
119342,0.0061895954,44,41
119343,0.0133641822,52,41
119344,0.0136101241,54,41
119345,0.019362948,40,41
119346,0.021032784,55,41
119347,0.0262754559,98,41
119348,0.0292177098,85,41
119349,0.0346604716,95,41
119350,0,41,41
119351,0.019362948,41,40
119352,0.022853411,44,40
119353,0.0236257243,61,40
119354,0.0245159205,52,40
119355,0.0267658992,54,40
119356,0.0310266977,55,40
119357,0.0359275996,45,40
119358,0.0396539508,85,40
119359,0.0455113385,98,40
119360,0,40,40
119361,0.0047286391,62,42
119362,0.0051142978,37,42
119363,0.0062692412,43,42
119364,0.0092210095,51,42
119365,0.0100309705,60,42
119366,0.0168335334,38,42
119367,0.0196810501,39,42
119368,0.0209144544,86,42
119369,0.0254868311,97,42
119370,0,42,42
119371,0.0072044053,38,39
