id,is_superuser,is_staff,gender,point,friend_id_list,is_push_on,created_at,block_user_id_list,hide_user_id_list,ban_status,report_count,alarm_count,pending_chat,pending_votes,group_id
838652,0,0,F,159,"[840065, 838793, 849932, 842002, 838677, 838425, 838939, 850717, 842269, 839710, 838942, 839970, 838568, 839339, 838830, 838579, 839616, 839364, 838351, 839001, 845274, 838883, 837734, 838887, 862704, 840051, 839796, 838521, 838650, 839036]",1,"2023-04-20 00:19:34.909942",[838579],"[838934, 838493, 838579, 838596, 841727]",N,0,1,0,0,196
838653,0,0,M,509,"[838402, 839434, 838410, 838796, 842765, 838925, 839309, 838288, 839437, 841490, 843538, 839186, 838551, 838424, 838937, 838552, 838425, 838940, 844063, 841249, 838954, 837806, 838579, 838457, 842938, 844987, 843581, 838596, 838341, 839237, 838599, 841672, 838345, 838346, 838601, 838476, 838986, 838351, 839504, 838353, 838355, 838995, 843989, 844117, 839640, 838489, 846937, 844507, 838367, 838625, 838498, 838883, 838886, 838887, 839273, 838508, 839789, 838511, 839793, 838515, 838644, 838777, 838523, 839037, 839678, 839679, 857848, 840372, 846122, 997146, 905534, 1476891, 841463, 839184, 1310625, 838133, 839765, 1506803, 1527920]",0,"2023-04-20 00:21:03.609829",[],[],N,0,0,0,22,317
838654,0,0,F,785,"[838281, 844045, 838798, 839693, 1053838, 843026, 837660, 837918, 844319, 837796, 838824, 837802, 837931, 839213, 837806, 838321, 837814, 837687, 838204, 1558461, 838591, 838720, 856191, 838213, 849223, 838994, 844115, 838611, 868310, 838487, 878300, 837727, 868473, 839523, 855139, 838629, 869480, 839535, 838769, 840308, 839033, 840570, 838142, 841983, 1573200]",1,"2023-04-20 00:21:30.344100",[],[],N,0,0,0,11,193
838656,0,0,F,834,"[839812, 838410, 838425, 838682, 839458, 838568, 839720, 839595, 844715, 839599, 840497, 838579, 838469, 838599, 843981, 838351, 841039, 841051, 838748, 838883, 838758, 838641, 838646, 1065915, 896426]",1,"2023-04-20 00:24:13.409134",[],[],N,0,1,0,3,323
838657,0,0,F,632,"[837762, 837635, 839044, 837900, 838668, 838799, 837907, 838167, 838041, 838042, 837754, 849830, 850600, 837806, 838961, 837940, 837941, 839224, 838972, 837697, 837956, 838342, 838855, 838602, 995405, 838992, 838481, 847955, 837846, 837734, 838509, 846577, 849395, 837882, 837883, 838859]",1,"2023-04-20 00:25:48.817191",[],[],W,0,0,0,0,185
838658,0,0,M,626,"[838528, 839042, 839555, 838918, 839176, 838031, 842390, 837527, 838557, 837792, 841504, 838178, 838691, 841766, 839207, 838183, 837671, 838314, 839215, 837809, 837757, 839096, 838337, 838850, 837959, 838472, 838349, 838478, 839250, 837589, 838620, 838496, 838626, 838371, 843492, 840931, 837608, 838378, 839663, 844916, 839672, 838905, 838908, 839165, 848475, 839272, 1525629]",1,"2023-04-20 00:30:35.406789",[],[],N,0,1,0,10,202
838659,0,0,F,1110,"[838017, 837762, 837635, 837639, 837767, 838279, 838670, 838035, 838163, 838165, 838167, 837785, 837536, 837922, 837795, 844964, 837797, 837926, 837806, 838010, 838194, 841395, 837939, 838709, 859062, 837560, 845243, 838590, 838338, 837956, 838603, 844877, 850511, 837720, 837722, 837724, 837726, 837984, 837604, 837739, 838509, 838648, 837882, 837883, 838012, 850558, 839398, 839350, 838859, 838376, 839635, 844372, 985495]",0,"2023-04-20 00:31:06.473461",[],[],N,0,1,0,32,159
838660,0,0,F,1281,"[844288, 838662, 862217, 847889, 838674, 839702, 838680, 838686, 838689, 840747, 1352754, 838707, 844342, 1538634, 839756, 839251, 862296, 838234, 838749, 838753, 838761, 838774, 855161, 840843, 840341, 851107, 838822, 837798, 840360, 838828, 838350, 838874, 838904, 838920, 1182473, 838922, 838410, 1034518, 1091864, 839966, 849189, 838954, 1259819, 838958, 839992, 842048, 843590, 838991, 839509, 1123159, 838493, 838498, 839011, 838500, 839019, 839020, 838512, 838518, 839550, 838536, 839068, 838558, 850888, 839626, 1092043, 838609, 838612, 838615, 838617, 838618, 838619, 838622, 873439, 838624, 839152, 1231138]",1,"2023-04-20 00:31:42.965406",[],[],N,0,0,0,18,358
838661,0,0,F,1827,"[838146, 838535, 838412, 861583, 838293, 864922, 838429, 838303, 838304, 838305, 870304, 839592, 838315, 837806, 865967, 838449, 838578, 839348, 867252, 844599, 838332, 850109, 873407, 868674, 838340, 839621, 838854, 840134, 843849, 871501, 838734, 840156, 869212, 870879, 833376, 874079, 849762, 839038, 864868, 838759, 866166, 872827, 874364, 872957, 873086, 873215, 838505, 877173, 880999, 869319, 885608, 885381, 838825, 912831, 959851, 985876, 992470, 1029028, 897549, 1180236, 880202, 849812, 1119718, 838117, 883604, 873741, 886360, 1027116, 1227674]",1,"2023-04-20 00:32:06.264366",[],[],N,0,1,0,28,181
838662,0,0,F,123,"[838912, 838914, 838788, 838660, 843141, 838663, 838922, 838927, 838674, 839192, 838680, 848155, 838686, 844063, 838707, 839733, 864442, 839228, 850888, 839756, 1340115, 838617, 838618, 838234, 839132, 838749, 838622, 838753, 861921, 850019, 838500, 846313, 839019, 839020, 839022, 838774, 839159, 848251, 840446]",1,"2023-04-20 00:32:38.400802",[],[],N,0,0,0,5,359
838663,0,0,F,179,"[838788, 838662, 852554, 840075, 839022, 839733, 838680, 843993, 839132, 838749, 839228, 847889, 1071466, 849576]",0,"2023-04-20 00:33:15.613918",[],[],N,0,1,0,0,359
838665,0,0,F,904,"[841604, 849420, 941590, 838680, 838689, 838822, 838954, 838707, 837697, 866378, 1116234, 838609, 989779, 838621, 838622, 838753, 838500, 839012, 838904, 844153, 1121986, 840051, 845296, 839477, 838776, 860559, 840360]",1,"2023-04-20 00:36:03.131042",[],[],N,0,1,0,15,360
838667,0,0,M,262,"[846849, 837635, 865155, 848134, 845960, 869515, 846604, 852365, 972174, 847505, 846611, 843284, 845843, 848150, 838167, 851352, 846617, 846619, 846363, 845979, 846748, 847132, 850848, 845608, 1342120, 851625, 847147, 846380, 846764, 846644, 847156, 848054, 837560, 850489, 850106, 846526, 847295, 847298, 994242, 847305, 847182, 847695, 845776, 847824, 848078, 846291, 848977, 847189, 842193, 1083095, 847448, 1159513, 838234, 840283, 1539036, 847070, 837984, 846052, 846693, 846820, 847076, 837736, 849893, 847978, 847595, 850027, 1375083, 847078, 847599, 847600, 850546, 846845, 848510, 1576956]",1,"2023-04-20 00:40:39.714244",[],[],N,0,1,0,128,361
838668,0,0,F,748,"[837632, 838657, 837635, 849420, 838670, 838159, 838167, 838168, 837668, 837685, 839224, 837689, 854072, 837691, 837697, 837706, 995405, 847955, 838235, 837724, 838750, 837734, 837736, 837738, 837739, 837746, 837754, 837762, 1123973, 837767, 838799, 837778, 837783, 837785, 838302, 837793, 837795, 837797, 837798, 850600, 837803, 837806, 837812, 838338, 838342, 838343, 838855, 838857, 838859, 837839, 837841, 1153745, 837846, 849622, 837850, 846577, 848120, 837882, 837883, 837900, 837906, 837907, 838427, 837922, 837924, 837926, 1148204, 837934, 837939, 837940, 837941, 843067, 838972, 837956, 838992, 838481, 929616, 837980, 837982, 837984, 837991, 838509, 838512, 838012, 838013, 848262, 838041, 838042, 837536, 837541, 838060, 837560, 837563, 838611, 837597, 837604, 839654, 1122790, 837613, 838128, 879090, 843763, 847350]",1,"2023-04-20 00:51:45.495792",[],[834325],N,0,0,0,25,185
838669,0,0,F,1157,"[838340, 838756, 838054, 838759, 838344, 837677, 838734, 838578, 838227, 838453, 838360, 837693, 838303, 838875, 838926, 839124, 837703, 839849, 840156, 837806, 869327, 871397, 873112, 875530, 838505, 985876, 989237, 1101504, 835869, 837781]",1,"2023-04-20 00:57:33.980810",[],[],N,0,1,0,35,45
838670,0,0,F,81,"[838017, 837762, 838659, 837635, 837767, 838668, 837906, 838163, 838167, 838041, 838302, 837668, 837541, 837797, 838010, 837806, 837812, 838197, 838709, 837560, 837689, 838590, 837697, 837956, 838603, 844877, 837712, 837720, 838745, 837722, 837980, 837597, 837726, 837724, 837984, 838235, 838114, 837739, 837745, 838648, 837882, 837883, 838012, 995342]",1,"2023-04-20 01:00:47.134124",[],[837839],N,0,0,0,0,162
838671,0,0,F,549,"[842242, 839811, 840967, 841226, 840717, 839313, 841234, 841748, 841371, 840990, 840992, 841632, 1130275, 840100, 844453, 841256, 841515, 841391, 841264, 841392, 840251, 840636, 887997, 839102, 838208, 839745, 839746, 844610, 841668, 843463, 842699, 837839, 839377, 841425, 841553, 839895, 840919, 840793, 846937, 1365591, 838236, 841056, 841316, 841449, 837738, 838509, 841966, 852589, 840947, 840181, 841206, 842487, 841590, 843382, 840701]",1,"2023-04-20 01:00:52.296675",[],[],N,0,1,0,82,362
