id,reason,created_at
533,"함께 할 친구가 없어서","2023-04-23 10:08:29"
534,"재밌는 질문이 없어서","2023-04-23 10:18:48"
535,"버그가 너무 많아서","2023-04-23 10:20:52"
536,"함께 할 친구가 없어서","2023-04-23 10:45:33"
537,"기타 이유","2023-04-23 10:56:11"
538,"재밌는 질문이 없어서","2023-04-23 11:01:14"
539,"기타 이유","2023-04-23 11:14:58"
540,"함께 할 친구가 없어서","2023-04-23 11:28:06"
541,"기타 이유","2023-04-23 11:28:42"
542,"재밌는 질문이 없어서","2023-04-23 11:33:35"
543,"기타 이유","2023-04-23 11:48:54"
544,"기타 이유","2023-04-23 11:56:09"
545,"기타 이유","2023-04-23 12:18:06"
546,"기타 이유","2023-04-23 12:33:28"
547,"함께 할 친구가 없어서","2023-04-23 12:50:20"
548,"기타 이유","2023-04-23 13:01:25"
549,"함께 할 친구가 없어서","2023-04-23 13:08:54"
550,"기타 이유","2023-04-23 13:15:17"
551,"기타 이유","2023-04-23 13:17:43"
552,"기타 이유","2023-04-23 13:19:50"
553,"기타 이유","2023-04-23 13:28:08"
554,"함께 할 친구가 없어서","2023-04-23 13:32:11"
555,"기타 이유","2023-04-23 13:33:26"
557,"함께 할 친구가 없어서","2023-04-23 13:43:40"
558,"기타 이유","2023-04-23 13:47:17"
559,"기타 이유","2023-04-23 13:50:43"
560,"함께 할 친구가 없어서","2023-04-23 13:57:50"
561,"함께 할 친구가 없어서","2023-04-23 14:12:05"
562,"재밌는 질문이 없어서","2023-04-23 14:13:40"
563,"함께 할 친구가 없어서","2023-04-23 14:21:36"
564,"기타 이유","2023-04-23 14:28:16"
565,"기타 이유","2023-04-23 14:29:30"
566,"기타 이유","2023-04-23 14:45:42"
567,"기타 이유","2023-04-23 14:47:14"
568,"함께 할 친구가 없어서","2023-04-23 14:47:49"
569,"기타 이유","2023-04-23 14:51:19"
570,"함께 할 친구가 없어서","2023-04-23 14:58:47"
571,"기타 이유","2023-04-23 15:04:50"
572,"재밌는 질문이 없어서","2023-04-23 15:09:30"
573,"재밌는 질문이 없어서","2023-04-23 15:17:47"
574,"함께 할 친구가 없어서","2023-04-23 15:18:41"
575,"기타 이유","2023-04-23 15:19:09"
576,"재밌는 질문이 없어서","2023-04-23 15:20:13"
577,"기타 이유","2023-04-23 15:20:54"
578,"기타 이유","2023-04-23 15:22:38"
579,"재밌는 질문이 없어서","2023-04-23 15:23:51"
580,"재밌는 질문이 없어서","2023-04-23 15:31:02"
581,"기타 이유","2023-04-23 15:33:50"
582,"기타 이유","2023-04-23 15:37:42"
583,"구독료가 너무 비싸서","2023-04-23 15:40:25"
584,"기타 이유","2023-04-23 15:42:18"
585,"기타 이유","2023-04-23 15:44:39"
586,"재밌는 질문이 없어서","2023-04-23 15:45:48"
587,"함께 할 친구가 없어서","2023-04-23 15:47:26"
588,"기타 이유","2023-04-23 15:49:21"
589,test,"2023-04-23 15:54:39"
