id,is_voted,created_at,question_id,is_skipped
1008480,1,"2023-04-28 13:07:45",200,0
1008481,1,"2023-04-28 13:07:45",113,0
1008482,1,"2023-04-28 13:07:45",230,0
1008483,1,"2023-04-28 13:07:45",293,0
1008484,1,"2023-04-28 13:07:45",307,0
1008485,1,"2023-04-28 13:07:45",268,0
1008486,1,"2023-04-28 13:07:45",264,0
1008728,1,"2023-04-28 13:08:46",108,0
1008729,1,"2023-04-28 13:08:46",283,0
1008732,1,"2023-04-28 13:08:46",156,0
1008733,1,"2023-04-28 13:08:46",243,0
1008734,1,"2023-04-28 13:08:46",224,0
1008735,1,"2023-04-28 13:08:46",260,0
1008736,1,"2023-04-28 13:08:46",155,0
